湾湾频道,#genre#
博斯无限壹台,http://litv.zapi.us.kg/?id=litv-longturn10
博斯无限贰台,http://litv.zapi.us.kg/?id=litv-longturn13
阿里郎台,http://litv.zapi.us.kg/?id=4gtv-4gtv079
达文西台,http://litv.zapi.us.kg/?id=4gtv-4gtv018
猪哥亮歌厅台,http://litv.zapi.us.kg/?id=4gtv-4gtv006
亚洲旅游,http://litv.zapi.us.kg/?id=litv-longturn17
美国之音,http://litv.zapi.us.kg/?id=litv-ftv03
半岛新闻,http://litv.zapi.us.kg/?id=litv-ftv10
非凡商业,http://litv.zapi.us.kg/?id=4gtv-4gtv048
第壹商业,http://litv.zapi.us.kg/?id=4gtv-4gtv109
爱放动漫,http://litv.zapi.us.kg/?id=litv-ftv15
古典音乐,http://litv.zapi.us.kg/?id=4gtv-4gtv059
客家电视,http://litv.zapi.us.kg/?id=4gtv-4gtv043
华仁纪实,http://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动,http://litv.zapi.us.kg/?id=4gtv-4gtv014
生活英语,http://litv.zapi.us.kg/?id=litv-longturn20
采昌影剧,http://litv.zapi.us.kg/?id=4gtv-4gtv049
数位电影,http://litv.zapi.us.kg/?id=4gtv-4gtv011
Amc电影,http://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影,http://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育,http://litv.zapi.us.kg/?id=4gtv-4gtv077
SMArt知识台,http://litv.zapi.us.kg/?id=litv-longturn19
GLO-Bet,http://litv.zapi.us.kg/?id=4gtv-4gtv016
TRACEU,http://litv.zapi.us.kg/?id=4gtv-4gtv082
MEZZOl,http://litv.zapi.us.kg/?id=4gtv-4gtv083
Ginx_TV,http://litv.zapi.us.kg/?id=4gtv-4gtv053
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS娱乐台,http://37.27.111.214:8080/live/24/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
亚洲旅游台,http://37.27.111.214:8080/live/10/hls.m3u8
三立综合台,http://37.27.111.214:8080/live/31/hls.m3u8
民视第一台,http://37.27.111.214:8080/live/4/hls.m3u8
民视台湾台,http://37.27.111.214:8080/live/5/hls.m3u8
Global,http://37.27.111.214:8080/live/53/hls.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
中视,http://37.27.111.214:8080/live/7/hls.m3u8
华视,http://37.27.111.214:8080/live/8/hls.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8

央视【肥羊】,#genre#
CCTV1,http://192.168.2.3:35455/ysptp/cctv1.m3u8
CCTV1,http://192.168.2.3:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1,http://192.168.2.3:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1,http://192.168.2.3:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://192.168.2.3:35455/ysptp/cctv2.m3u8
CCTV2,http://192.168.2.3:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2,http://192.168.2.3:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV2,http://192.168.2.3:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://192.168.2.3:35455/ysptp/cctv3.m3u8
CCTV3,http://192.168.2.3:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV3,http://192.168.2.3:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://192.168.2.3:35455/ysptp/cctv4.m3u8
CCTV4,http://192.168.2.3:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4,http://192.168.2.3:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://192.168.2.3:35455/ysptp/cctv5.m3u8
CCTV5,http://192.168.2.3:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5,http://192.168.2.3:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5,http://192.168.2.3:35455/ysptp/cctv5p.m3u8
CCTV5+,http://192.168.2.3:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
